customerid,name,dob,pan,aadhaar,phone,email,address,age,age_status,pan_status,aadhaar_status,phone_status,email_status,kyc_result,is_suspicious,total_amount,num_transactions,risk_level
1,Urvi Manne,12/31/1967,ONWWT3488J,878000000000.0,9691299571,kimayamani@hotmail.com,"H.No. 408, Shah Marg Bettiah-612925",58,Valid,Valid,Valid,Valid,Valid,KYC Verified ,No,100000,1,Low
2,Vivaan Swamy,11/17/2006,BUKLK9822J,933000000000.0,7072544958,vritika14@gmail.com,14/225 Chandra Ganj Tumkur 689765,19,Valid,Valid,Valid,Valid,Valid,KYC Verified ,No,1200000,1,Medium
3,Heer Sharaf,6/25/1975,CGHOZ8122D,410000000000.0,9678979774,nirvaantank@kar.org,H.No. 043 Solanki Marg Howrah 006211,50,Valid,Valid,Valid,Valid,Valid,KYC Verified ,No,990000,1,Medium
4,Raghav Sunder,6/10/1958,TWUTP8844W,565000000000.0,1944065427,wray@hotmail.com,27 Sha Zila Giridih-713217,67,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,15000,1,Low
5,Kimaya Varma,6/18/1987,COWRG3351S,465000000000.0,4282417707,magarrhea@gmail.com,"21/582, Kale Chowk, Unnao-415214",38,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,15000,1,Low
6,Saksham Ranganathan,3/26/1981,NZWKX8151N,151000000000.0,9381997436,alanka@yahoo.com,"27/81 Lata Street, Kolhapur-355816",44,Valid,Valid,Valid,Valid,Valid,KYC Verified ,No,50000,1,Low
7,Dhruv Dugar,6/7/1977,XQZSK2355Z,840000000000.0,5293767708,sachdevagokul@sehgal.com,"708 Tailor Street, Thiruvananthapuram-153558",48,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,1200000,1,Medium
8,Siya Saini,6/12/1999,TWNKJ5260N,943000000000.0,956521035,taimurraju@hotmail.com,455 Batta Street Salem-288213,26,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,1200000,1,Medium
9,Chirag Dass,6/27/1959,QKDDC5860Q,383000000000.0,3512676864,pranay88@yahoo.com,"13/96, Dutta Marg Etawah 529382",66,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,990000,1,Medium
10,Farhan Manda,8/19/1995,IUBRA8283D,360000000000.0,3627581393,myrachaudhry@bhatt-kala.com,"45/546, Sehgal Path, Nagpur-525023",30,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,250000,1,Medium
11,Samarth Warrior,11/28/1974,HELAD4441E,360000000000.0,6930388818,wsawhney@hotmail.com,"94, Shukla Nagar, Panvel-734690",51,Valid,Valid,Valid,Valid,Valid,KYC Verified ,No,990000,1,Medium
12,Zain Bassi,5/19/1970,AHERN0352O,930000000000.0,4154491754,manjariwable@hotmail.com,"H.No. 856 Sama Zila, Gurgaon 492141",55,Valid,Valid,Valid,Invalid,Valid,KYC Rejected (Invalid Phone),No,990000,1,Medium
